Name,Age,Salary,Department,Experience
0,-1.0481673094120898,-0.5287880080595565,1,-0.7695538413614076
1,-0.37434546764717497,0.0,0,-0.3621429841700742
2,0.2994763741177398,-0.26872833196469265,2,0.31687511114881484
3,0.0,-0.5938029270832724,0,-0.6337502222976298
4,-0.5091098360001579,-0.39875817001212455,1,-0.497946603233852
5,0.9732982158826546,0.38142085827246686,2,0.9958932064677039
6,-0.6438742043531409,-0.4247641376216109,0,-0.7695538413614076
7,2.320941899412484,2.721957943126241,2,2.3539293971054818
8,-0.7786385727061239,-0.5027820404500701,1,-0.6337502222976298
9,-0.23958109929419202,-0.38575518620738136,0,0.0
